SYMBOL,DATE1,PREV_CLOSE,CLOSE_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,DELIV_QTY,DELIV_PER,AVG_DELIV_10D,AVG_TURNOVER_10D,DELIV_SPIKE_X,PCT_CHG,COMPANY_NAME,DELIV_TURNOVER_CR
BHARTIHEXA,2026-09-18,1481.1,1540.1,307475,4686.05,208156.0,67.7,41044.63636363636,1201.1827272727273,5.07145435900162,3.9835257578826546,Bharti Hexacom Limited,31.724558500000004
CHOLAHLDNG,2026-09-18,1499.2,1507.7,395533,5943.55,241383.0,61.03,47874.181818181816,1360.1818181818182,5.042028726814225,0.5669690501600854,Cholamandalam Financial Holdings Limited,36.273485650000005
CPPLUS,2026-09-18,3378.4,3355.1,880079,29834.33,629303.0,71.51,125484.09090909091,7900.823636363636,5.015002263959575,-0.6896755860762545,Aditya Infotech Limited,213.34529383000006
JUBLINGREA,2026-09-18,633.25,624.9,923659,5728.91,542200.0,58.7,109352.27272727272,1297.1699999999998,4.95828743635041,-1.3185945519147293,Jubilant Ingrevia Limited,33.6287017
LENSKART,2026-09-18,679.95,707.2,25690503,181024.29,16501225.0,64.23,3434596.090909091,39188.59545454545,4.80441500637484,4.007647621148614,Lenskart Solutions Limited,1162.7190146700002
TIMKEN,2026-09-18,3185.1,3124.2,132715,4169.74,77249.0,58.21,16096.0,1121.5136363636364,4.79926689860835,-1.9120278798153933,Timken India Limited,24.272056540000005
RBA,2026-09-18,96.12,95.12,9653090,9177.26,5799849.0,60.08,1238081.8181818181,2757.7845454545454,4.684544199604961,-1.0403662089055348,Restaurant Brands Asia Limited,55.13697808
IIFLCAPS,2026-09-18,336.95,345.1,1665584,5715.55,1108996.0,66.58,237033.54545454544,1255.5709090909093,4.678645791984181,2.4187564920611466,IIFL Capital Services Limited,38.054131899999994
BHAGCHEM,2026-09-18,247.95,246.85,146748,365.33,124540.0,84.87,27466.18181818182,112.33363636363637,4.534303341630038,-0.44363783020770087,Bhagiradha Chemicals & Industries Limited,3.10055571
INDUSINDBK,2026-09-18,958.2,966.3,6250679,60280.04,4656142.0,74.49,1027326.7272727273,17758.11909090909,4.532289364612161,0.8453350031308609,IndusInd Bank Limited,449.02601795999993
ACC,2026-09-18,1232.5,1259.7,386560,4852.96,246221.0,63.7,54593.454545454544,1383.7700000000002,4.510082793808116,2.2068965517241415,ACC Limited,30.9133552
CONCOR,2026-09-18,488.15,504.55,2242132,11147.34,1502403.0,67.01,335852.0,3712.4190909090908,4.4734079296833125,3.3596230666803306,Container Corporation of India Limited,74.69832534
VINATIORGA,2026-09-18,1249.7,1234.9,178913,2215.66,145455.0,81.3,33005.181818181816,742.139090909091,4.4070352589262844,-1.1842842282147679,Vinati Organics Limited,18.013315799999997
HGINFRA,2026-09-18,460.65,442.45,172786,777.06,97666.0,56.52,22568.727272727272,216.96454545454546,4.327492588295953,-3.950938890697925,H.G. Infra Engineering Limited,4.3919431200000005
SHANKARA,2026-09-18,149.29,149.26,461337,687.97,426297.0,92.4,99072.63636363637,175.12818181818182,4.302873282137348,-0.02009511688659732,Shankara Building Products Limited,6.356842800000001
BHARTIARTL,2026-09-18,1836.0,1893.3,14189780,265930.41,12483302.0,87.97,2924509.0,79154.07090909091,4.26851208185716,3.1209150326797364,Bharti Airtel Limited,2339.38981677
GUJENERGY,2026-09-18,239.43,244.64,6160841,15073.16,3871385.0,62.84,919695.3636363636,4175.029090909091,4.209421024689104,2.17600133650753,GUJARAT ENERGY LIMITED,94.71973744
IGL,2026-09-18,148.67,148.56,4539547,6758.68,2920638.0,64.34,715023.0909090909,2370.783636363636,4.08467647707245,-0.07398937243558568,Indraprastha Gas Limited,43.48534712000001
CUBEXTUB,2026-09-18,81.63,85.32,247242,208.17,140599.0,56.87,35191.90909090909,51.98090909090909,3.9952080927692575,4.520396912899667,Cubex Tubings Limited,1.1838627899999998
PREMIERENE,2026-09-18,880.0,902.0,3106714,27810.46,2045868.0,65.85,515752.54545454547,10697.47090909091,3.9667627780623476,2.5,Premier Energies Limited,183.13187909999996
FEDERALBNK,2026-09-18,332.75,332.75,14568034,48139.6,9314058.0,63.93,2348660.4545454546,14470.347272727273,3.9656894558658484,0.0,The Federal Bank  Limited,307.75646279999995
