SYMBOL,TOT_DELIV_QTY,TOT_TRD_QTY,TOT_TURNOVER_CR,DAYS_TRADED,LATEST_CLOSE,FIRST_PREV_CLOSE,WEEKLY_DELIV_PER,WEEKLY_PRICE_CHG,PRIOR_DELIV_QTY,PRIOR_TRD_QTY,PRIOR_TURNOVER_CR,WEEKLY_SPIKE_X,COMPANY_NAME
BERGEPAINT,1457085.0,2615550,119.0992,6,458.65,463.8,55.70855078281814,-1.110392410521784,727918.0,1467508.0,70.2758,2.001715852609772,Berger Paints (I) Limited
PAUSHAKLTD,137856.0,257697,18.4402,6,716.35,734.05,53.49538411390121,-2.411279885566369,69179.0,151960.0,11.5879,1.9927434626114862,Paushak Limited
COROMANDEL,489425.0,806536,157.37740000000002,6,1999.5,1961.9,60.68235019887519,1.9165095060910293,249109.0,414119.0,80.697,1.9647021986359385,Coromandel International Limited
MSUMI,46886790.0,92575282,331.5033,6,35.67,36.34,50.64720191724612,-1.8436984039625803,23920182.0,42726694.0,156.36180000000002,1.960135169540098,Motherson Sumi Wiring India Limited
NESTLEIND,5778946.0,10054341,1384.4381,6,1372.4,1386.2,57.47712356284713,-0.9955273409320411,2973430.0,4694753.0,657.2084,1.9435285175706172,Nestle India Limited
MAXESTATES,627553.0,914222,52.0091,6,594.0,559.75,68.643392961447,6.11880303707012,323883.0,441850.0,23.9733,1.9375916611862927,Max Estates Limited
SURYODAY,844561.0,1524417,22.401500000000002,6,146.63,151.06,55.402229180073434,-2.932609559115588,437208.0,889070.0,13.6228,1.9317144242557318,Suryoday Small Finance Bank Limited
BAJAJHLDNG,144567.0,267998,297.4418,6,11282.0,10992.0,53.94331300979858,2.638282387190684,75140.0,142212.0,157.667,1.9239685919616716,Bajaj Holdings & Investment Limited
LICI,31196789.0,49826614,1988.7055000000003,6,407.7,405.6,62.610694357035776,0.5177514792899324,16306080.0,28113007.0,1154.3591000000001,1.9131998003198807,Life Insurance Corporation Of India
IOC,29861566.0,52495313,706.2841000000001,6,137.0,134.94,56.884251742627,1.526604416777829,15680784.0,29115576.0,394.4206,1.9043413900733535,Indian Oil Corporation Limited
LLOYDSME,1130413.0,2225206,400.6699,6,1826.7,1814.3,50.80037533603631,0.6834591853607502,594889.0,1215974.0,219.81329999999997,1.9002082741486226,Lloyds Metals And Energy Limited
DELHIVERY,8222153.0,14183824,604.4762999999999,6,428.0,447.7,57.968521041998265,-4.400268036631671,4335012.0,7335234.0,333.26059999999995,1.8966851764193502,Delhivery Limited
CARRARO,526799.0,869394,45.505900000000004,6,524.65,551.95,60.59381592235511,-4.946100190234635,277898.0,468727.0,25.298299999999998,1.8956559601004686,Carraro India Limited
ACC,519946.0,969404,120.37559999999999,6,1259.7,1254.3,53.635635916501265,0.4305190145898183,275330.0,540946.0,68.45689999999999,1.8884465913630915,ACC Limited
WONDERLA,217938.0,381490,19.851599999999998,6,527.85,519.05,57.128102964691074,1.6954050669492473,115740.0,207036.0,10.8603,1.8829963711767754,Wonderla Holidays Limited
KUSUMGAR,797164.0,1391028,78.86099999999999,6,591.2,566.0,57.307545211167565,4.4522968197879935,425759.0,753047.0,42.9323,1.8723362277720494,Kusumgar Limited
DIVISLAB,2415042.0,3478339,3223.3115000000003,6,9375.0,9438.5,69.43089790845573,-0.6727763945542194,1291756.0,2314724.0,2174.4188,1.8695806328749391,Divi's Laboratories Limited
SCHNEIDER,849336.0,1656213,200.0091,6,1213.5,1194.9,51.281809767221965,1.556615616369563,454789.0,978558.0,117.85060000000001,1.8675385728326763,Schneider Electric Infrastructure Limited
KARURVYSYA,5189673.0,10210640,339.76059999999995,6,332.15,335.3,50.826128430735,-0.9394572025052293,2785244.0,5467404.0,187.1589,1.8632740973501782,Karur Vysya Bank Limited
SHK,1592890.0,3001364,41.313599999999994,6,137.04,143.58,53.07220317162463,-4.554951943167586,859907.0,1809007.0,26.728,1.8523979918758657,S H Kelkar and Company Limited
PSPPROJECT,167339.0,310626,25.7431,6,810.1,865.05,53.87153683207458,-6.3522339749147365,90347.0,185145.0,16.2133,1.8521810353415167,PSP Projects Limited
SHRIRAMFIN,17541564.0,28648204,2866.4804000000004,6,1010.0,1038.0,61.230937897538006,-2.697495183044316,9530722.0,14920795.0,1541.6926,1.840528346121102,Shriram Finance Limited
