SYMBOL,DATE1,PREV_CLOSE,CLOSE_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,DELIV_QTY,DELIV_PER,AVG_DELIV_10D,AVG_TURNOVER_10D,DELIV_SPIKE_X,PCT_CHG,COMPANY_NAME,DELIV_TURNOVER_CR
POWERGRID,2026-09-18,263.75,270.3,17896733,47748.38,12946336.0,72.34,5454495.454545454,25078.400909090913,2.3735166905696636,2.483412322274886,Power Grid Corporation of India Limited,345.41178092
SUNPHARMA,2026-09-18,1867.3,1837.3,2896860,53588.56,2093616.0,72.27,878267.0,24823.76,2.3838035585989226,-1.6065977614737856,Sun Pharmaceutical Industries Limited,387.28452312
SEIL,2026-09-18,193.07,192.19,257466,494.98,184824.0,71.79,147975.72727272726,449.1536363636364,1.2490156555159846,-0.4557932356140237,Shanti Educational Initiatives Limited,3.5534614200000005
ENDURANCE,2026-09-18,2690.8,2732.0,88695,2416.35,63572.0,71.67,48329.181818181816,2331.348181818182,1.3153957424556217,1.5311431544522005,Endurance Technologies Limited,17.31798045
KCP,2026-09-18,157.92,161.95,136817,219.04,97966.0,71.6,57802.63636363636,163.15454545454546,1.6948361902335378,2.5519250253292816,KCP Limited,1.5683264
CPPLUS,2026-09-18,3378.4,3355.1,880079,29834.33,629303.0,71.51,125484.09090909091,7900.823636363636,5.015002263959575,-0.6896755860762545,Aditya Infotech Limited,213.34529383000006
VOLTAS,2026-09-18,1135.0,1110.9,597381,6717.02,426218.0,71.35,261411.27272727274,6680.783636363637,1.630449963206706,-2.1233480176211375,Voltas Limited,47.92593769999999
AJAXENGG,2026-09-18,566.6,559.75,86718,487.16,61864.0,71.34,39341.27272727273,435.86999999999995,1.572496152548561,-1.2089657606777306,Ajax Engineering Limited,3.4753994400000003
SEJALLTD,2026-09-18,681.7,714.4,36648,258.4,26140.0,71.33,13315.90909090909,101.53090909090908,1.9630653695169826,4.796831450784792,Sejal Glass Limited,1.8431671999999997
DEEPAKNTR,2026-09-18,1604.8,1586.3,426779,6799.2,304105.0,71.26,163027.0,4764.758181818182,1.8653658596428813,-1.1527916251246262,Deepak Nitrite Limited,48.4510992
DIVISLAB,2026-09-18,9323.0,9375.0,691534,64844.78,492740.0,71.25,322318.8181818182,47346.18363636364,1.5287348184617884,0.5577603775608709,Divi's Laboratories Limited,462.0190575
INFY,2026-09-18,1058.6,1051.4,22124953,231854.51,15755453.0,71.21,4306894.454545454,84594.90272727273,3.6581934306218833,-0.6801435858681106,Infosys Limited,1651.03596571
ULTRAMAR,2026-09-18,412.5,424.4,78947,332.4,56205.0,71.19,30753.909090909092,232.83090909090907,1.8275725480574532,2.8848484848484794,Ultramarine & Pigments Limited,2.3663556
DMART,2026-09-18,3711.2,3749.9,881497,32753.03,626100.0,71.03,251805.63636363635,15127.210909090909,2.4864415627926593,1.042789394266013,Avenue Supermarts Limited,232.64477209
RBLBANK,2026-09-18,404.15,415.9,3792806,15572.96,2690157.0,70.93,2012514.7272727273,19487.00090909091,1.3367141932151643,2.9073363850055673,RBL Bank Limited,110.45900528
HDFCAMC,2026-09-18,2387.7,2425.0,1040790,25239.46,737672.0,70.88,330374.7272727273,13813.332727272727,2.2328342306614912,1.562172802278351,HDFC Asset Management Company Limited,178.89729248
TITAN,2026-09-18,4841.0,4798.5,1066023,51260.09,755286.0,70.85,237722.27272727274,21707.02,3.177178105084428,-0.8779177855814915,Titan Company Limited,363.1777376499999
EICHERMOT,2026-09-18,7493.5,7516.0,419526,31544.28,296630.0,70.71,224401.72727272726,29631.71181818182,1.3218703955851905,0.3002602255287916,Eicher Motors Limited,223.04960387999995
OBEROIRLTY,2026-09-18,1740.7,1785.0,766762,13466.53,542086.0,70.7,236477.27272727274,8333.43090909091,2.2923386833253243,2.544953179755268,Oberoi Realty Limited,95.20836710000002
STARHEALTH,2026-09-18,560.55,547.05,2515581,13792.21,1777990.0,70.68,256375.45454545456,2501.640909090909,6.935102282518891,-2.4083489430024088,Star Health and Allied Insurance Company Limited,97.48334028000001
HINDPETRO,2026-09-18,350.6,359.0,6539998,23202.77,4618844.0,70.62,1937713.3636363635,13303.689090909093,2.3836569880140357,2.395892755276662,Hindustan Petroleum Corporation Limited,163.85796174000004
GLAXO,2026-09-18,2799.9,2838.8,125265,3547.64,88399.0,70.57,25945.272727272728,1609.1045454545456,3.4071331964484686,1.3893353334047678,GlaxoSmithKline Pharmaceuticals Limited,25.035695479999994
HDBFS,2026-09-18,681.45,698.4,780230,5398.24,550367.0,70.54,311379.2727272727,3128.781818181818,1.7675132810848624,2.4873431653092566,HDB Financial Services Limited,38.07918496
SHRIRAMFIN,2026-09-18,995.0,1010.0,4870631,49261.41,3431319.0,70.45,2527733.0,41526.230909090904,1.3574689257132775,1.507537688442211,Shriram Finance Limited,347.04663345
GAIL,2026-09-18,172.0,173.9,8527161,14799.33,6004479.0,70.42,3279435.1818181816,9422.037272727273,1.8309491321218925,1.104651162790701,GAIL (India) Limited,104.21688186000002
CESC,2026-09-18,141.56,141.53,3878798,5480.78,2729511.0,70.37,975071.9090909091,2999.5845454545456,2.7992920055966035,-0.021192427239333945,CESC Limited,38.56824886
MOTILALOFS,2026-09-18,988.7,1010.0,739629,7441.71,520412.0,70.36,314598.9090909091,7433.04,1.654207897617399,2.154344088196617,Motilal Oswal Financial Services Limited,52.35987156
GATEWAY,2026-09-18,52.75,52.87,660523,349.42,464463.0,70.32,319538.63636363635,308.9154545454545,1.4535425364694838,0.22748815165876293,Gateway Distriparks Limited,2.45712144
FLUOROCHEM,2026-09-18,4471.8,4586.7,225937,10315.46,158606.0,70.2,80324.18181818182,7541.028181818182,1.974573489699694,2.569435126794571,Gujarat Fluorochemicals Limited,72.4145292
BAJAJFINSV,2026-09-18,1859.2,1852.5,719520,13380.28,504220.0,70.08,321571.2727272727,11244.026363636365,1.5679883209829917,-0.3603700516351143,Bajaj Finserv Limited,93.76900224
