id,symbol,company,isin,sector,industry,series,listing_date,market_cap,revenue_growth,pat_growth,roce,ai_score
62,ADANIENT,Adani Enterprises Limited,INE423A01024,Unknown,Unknown,EQ,1997-06-04,Unknown,0.0,0.0,0.0,0.0
9382,ADANI-RE,Adani Enterprises Ltd.,INE423A20016,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
9632,ADANIENPP,Adani Enterprises Ltd.,IN9423A01048,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
63,ADANIGREEN,Adani Green Energy Limited,INE364U01010,Unknown,Unknown,EQ,2018-06-18,Unknown,0.0,0.0,0.0,0.0
64,ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,Unknown,Unknown,EQ,2007-11-27,Unknown,0.0,0.0,0.0,0.0
65,ADANIPOWER,Adani Power Limited,INE814H01029,Unknown,Unknown,EQ,2009-08-20,Unknown,0.0,0.0,0.0,0.0
241,ATGL,Adani Total Gas Limited,INE399L01023,Unknown,Unknown,EQ,2018-11-05,Unknown,0.0,0.0,0.0,0.0
5009,ADARSHPL,Adarsh Plant Project Ltd.,INE627D01016,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
4639,ADCINDIA,ADC India Communications Limited,INE833A01016,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
9584,ADCONPP,Adcon Capital Services Limited,IN9805Q01018,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7592,ADCON,Adcon Capital Services Limited,INE805Q01028,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
9067,ADCON-RE,Adcon Capital Services Limited,INE805Q20010,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
8580,ADCOUNTY,ADCOUNTY MEDIA INDIA LIMITED,INE0W1601012,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
4818,ADDLP,Add-life Pharma Ltd.,INE124C01016,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
8039,ASRL,Add-Shop E-Retail Limited,INE01B501018,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
9049,ASRL-RE,Add-Shop E-Retail Limited,INE01B520018,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
66,ADDIND,Addi Industries Limited,INE757C01021,Unknown,Unknown,EQ,2026-08-17,Unknown,0.0,0.0,0.0,0.0
8229,ADESHWAR,Adeshwar Meditex Limited,INE0H8J01015,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
67,ADFFOODS,ADF Foods Limited,INE982B01027,Unknown,Unknown,EQ,2010-09-15,Unknown,0.0,0.0,0.0,0.0
7589,ADHARSHILA,ADHARSHILA CAPITAL SERVICES LIMITED,INE269F01012,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
5509,ADHHATA,ADHATA GLOBAL LIMITED,INE586D01014,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7487,ADHBHUTIN,Adhbhut Infrastructure Ltd.,INE578L01014,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
9474,ADHIRAJ,Adhiraj Distributors Limited,INE067R01015,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
6849,ADHUNIK,Adhunik Metaliks Ltd.,INE400H01019,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
8874,ADINATHBI,Adinath Bio-Labs Ltd.,INE129D01039,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
4150,ADINATH,Adinath Textiles Ltd.,INE207C01019,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
8248,ADISHAKTI,Adishakti Loha and Ispat Limited,INE0CWK01019,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7077,ADITRI,ADITRI INDUSTRIES LIMITED,INE636N01016,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
40,ABCAPITAL,Aditya Birla Capital Limited,INE674K01013,Unknown,Unknown,EQ,2017-09-01,Unknown,0.0,0.0,0.0,0.0
9509,BIHCCPPRI,Aditya Birla Chemicals (India) Limited,IN9605B01014,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
3009,ABCIL,Aditya Birla Chemicals (India) Limited,INE605B01016,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
8959,ABFRL-RE,Aditya Birla Fashion and Retail Limited,INE647O20011,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
9553,ABFRLPP,Aditya Birla Fashion and Retail Limited,IN9647O01027,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
