date,equity,cash,open_positions,peak,drawdown,daily_ret
2026-03-17,874405.96,339585.82,3,1033601.45,-15.402018834242154,-0.011478528180244418
2026-03-18,892312.84,354964.92,3,1033601.45,-13.669544484481905,0.020478908904051796
2026-03-19,874008.46,8471.96,5,1033601.45,-15.44047659762861,-0.020513410969184354
2026-03-20,884313.84,178001.82,4,1033601.45,-14.443440457634807,0.011790938499611325
2026-03-23,818827.51,13165.21,5,1033601.45,-20.779183310936723,-0.0740532682378916
2026-03-24,852172.91,168727.89,4,1033601.45,-17.55304619590074,0.04072335088008949
2026-03-25,866235.01,180153.36,4,1033601.45,-16.192550813468763,0.016501463300446773
2026-03-27,857147.08,8294.11,5,1033601.45,-17.071799773500704,-0.010491298429510576
2026-03-30,823357.88,329609.78,3,1033601.45,-20.340874134803116,-0.03942053912147725
2026-04-01,827142.89,479839.19,2,1033601.45,-19.974677860600906,0.0045970410825484365
2026-04-02,836169.34,334378.64,3,1033601.45,-19.101377034639416,0.010912806129543151
2026-04-06,858632.9,2998.7,5,1033601.45,-16.928048040180276,0.026864845343408605
2026-04-07,872616.28,16269.15,5,1033601.45,-15.575168746135171,0.01628563266094285
2026-04-08,911276.53,18959.3,5,1033601.45,-11.834824728622422,0.044303837650152555
2026-04-09,914614.59,18959.3,5,1033601.45,-11.511870460321044,0.003663059335018648
2026-04-10,941872.38,20836.25,5,1033601.45,-8.87470407476692,0.029802487624869478
2026-04-13,949559.88,22673.83,5,1033601.45,-8.13094544323636,0.008161933785551634
2026-04-15,967597.16,230243.36,4,1033601.45,-6.385855012103546,0.018995410800211943
2026-04-16,969905.99,37911.29,5,1033601.45,-6.162477809991459,0.0023861479709179623
2026-04-17,971976.04,37911.29,5,1033601.45,-5.962202355656517,0.0021342790139897705
2026-04-20,960424.14,37911.29,5,1033601.45,-7.079838171666646,-0.011884963748694855
2026-04-21,976736.6,15351.6,5,1033601.45,-5.501622506431273,0.016984641806275347
2026-04-22,969149.25,15351.6,5,1033601.45,-6.235691716570246,-0.007768061522420711
2026-04-23,964973.0,15351.6,5,1033601.45,-6.639740104853757,-0.004309191798889556
2026-04-24,953659.15,381640.7,3,1033601.45,-7.734344799922634,-0.011724524934894509
2026-04-27,953395.19,1249.99,5,1033601.45,-7.759882689793055,-0.00027678652273199766
2026-04-28,962452.97,21431.27,5,1033601.45,-6.8835507148330715,0.009500551392544798
2026-04-29,949633.63,19351.08,5,1033601.45,-8.123810197828181,-0.013319445624444315
2026-04-30,968500.39,2035.87,5,1033601.45,-6.298468331289583,0.019867409287095184
2026-05-04,984302.87,412237.92,3,1033601.45,-4.769592767115406,0.016316441545263682
2026-05-05,1002055.8,16971.49,5,1033601.45,-3.0520129398038196,0.018036044129384754
2026-05-06,1017536.34,28794.64,5,1033601.45,-1.5542847777545192,0.015448780397259165
2026-05-07,1031895.14,28794.64,5,1033601.45,-0.1650839402363396,0.01411133876555204
2026-05-08,1068863.95,35902.8,5,1068863.95,0.0,0.03582613055043549
2026-05-11,1055498.03,35902.8,5,1068863.95,-1.250479071728439,-0.012504790717284386
2026-05-12,1019259.21,35902.8,5,1068863.95,-4.6408843707377345,-0.034333384781400356
2026-05-13,1035086.72,35902.8,5,1068863.95,-3.1601056430053593,0.015528444427791888
2026-05-14,1054128.04,40515.73,5,1068863.95,-1.3786516048183604,0.018395869285232402
2026-05-15,1060549.76,230212.36,4,1068863.95,-0.7778529718398627,0.006091973419092511
2026-05-18,1061774.39,435323.58,3,1068863.95,-0.6632799244468911,0.0011547124389523766
2026-05-19,1084244.49,413574.81,3,1084244.49,0.0,0.021162782048265605
2026-05-20,1077908.48,952.21,5,1084244.49,-0.5843709659986384,-0.005843709659986374
2026-05-21,1076380.46,19167.21,5,1084244.49,-0.7253004347755576,-0.0014175786055602435
2026-05-22,1098092.35,35428.4,5,1098092.35,0.0,0.02017120414839213
2026-05-25,1093556.84,35428.4,5,1098092.35,-0.4130353881438122,-0.00413035388143812
2026-05-26,1099962.77,48150.73,5,1099962.77,0.0,0.0058578848082555535
2026-05-27,1117223.35,66145.15,5,1117223.35,0.0,0.015691967465407908
2026-05-29,1112374.68,55776.78,5,1117223.35,-0.43399289855516876,-0.004339928985551689
2026-06-01,1114208.67,38748.81,5,1117223.35,-0.2698368235859166,0.0016487160603115836
2026-06-02,1135984.52,25236.06,5,1135984.52,0.0,0.019543780789284426
2026-06-03,1139947.06,40686.88,5,1139947.06,0.0,0.0034881989413024783
2026-06-04,1134211.25,40686.88,5,1139947.06,-0.503164594327745,-0.00503164594327743
2026-06-05,1118587.35,33746.44,5,1139947.06,-1.873745786054307,-0.013775123461348016
2026-06-08,1084663.31,7040.26,5,1139947.06,-4.849676966577729,-0.03032757343447523
2026-06-09,1096348.24,209551.35,4,1139947.06,-3.8246355054418113,0.01077286370090258
2026-06-10,1089357.82,264.79,5,1139947.06,-4.437858719509307,-0.006376094515370356
2026-06-11,1073948.96,92.81,5,1139947.06,-5.78957587732189,-0.014144902360915812
2026-06-12,1098633.26,92.81,5,1139947.06,-3.624185845963763,0.022984611857159498
2026-06-15,1121407.38,92.81,5,1139947.06,-1.6263632453247583,0.020729501671922668
2026-06-16,1128037.53,411.42,5,1139947.06,-1.0447441304862022,0.005912347393326467
2026-06-17,1140762.89,15438.58,5,1140762.89,0.0,0.011280972185384597
2026-06-18,1156369.99,15438.58,5,1156369.99,0.0,0.013681283057866755
2026-06-19,1169851.64,9919.24,5,1169851.64,0.0,0.011658595533078353
2026-06-22,1164298.75,25294.78,5,1169851.64,-0.47466617219939944,-0.0047466617219940055
2026-06-23,1183538.3,39105.51,5,1183538.3,0.0,0.01652458185667549
