date,equity,cash,open_positions,peak,drawdown,daily_ret
2026-03-24,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-03-25,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-03-27,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-03-30,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-04-01,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-04-02,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-04-06,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-04-07,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-04-08,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-04-09,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-04-10,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-04-13,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-04-15,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-04-16,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-04-17,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-04-20,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-04-21,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-04-22,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-04-23,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-04-24,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-04-27,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-04-28,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-04-29,975986.28,787452.48,1,1000000.0,-2.401371999999997,-0.008426149320096332
2026-04-30,976516.51,976516.51,0,1000000.0,-2.3483489999999994,0.0005432760796595382
2026-05-04,976516.51,976516.51,0,1000000.0,-2.3483489999999994,0.0
2026-05-05,976516.51,976516.51,0,1000000.0,-2.3483489999999994,0.0
2026-05-06,976516.51,976516.51,0,1000000.0,-2.3483489999999994,0.0
2026-05-07,981182.79,844.49,5,1000000.0,-1.8817209999999962,0.004778495757332468
2026-05-08,985389.41,76.06,5,1000000.0,-1.4610589999999968,0.004287294929011143
2026-05-11,987057.14,393395.24,3,1000000.0,-1.2942859999999987,0.0016924578071120244
2026-05-12,971327.85,581533.15,2,1000000.0,-2.8672150000000025,-0.01593554148243137
2026-05-13,972035.38,776375.38,1,1000000.0,-2.7964619999999996,0.0007284152307587277
2026-05-14,973805.38,776375.38,1,1000000.0,-2.6194619999999995,0.001820921374281692
2026-05-15,976805.38,776375.38,1,1000000.0,-2.3194619999999997,0.0030806977057367124
2026-05-18,979070.38,776375.38,1,1000000.0,-2.0929619999999995,0.002318783297446725
2026-05-19,978980.38,776375.38,1,1000000.0,-2.1019619999999994,-9.192393298629309e-05
2026-05-20,977675.38,776375.38,1,1000000.0,-2.2324619999999995,-0.0013330195647026644
2026-05-21,978095.38,776375.38,1,1000000.0,-2.1904619999999997,0.00042959044340462604
2026-05-22,981065.76,389651.16,3,1000000.0,-1.893423999999999,0.0030369021884144587
2026-05-25,989338.62,198397.13,4,1000000.0,-1.0661380000000005,0.008432523422283067
2026-05-26,983084.82,2531.14,5,1000000.0,-1.691518000000005,-0.006321192636753681
2026-05-27,1008354.87,230539.52,4,1008354.87,0.0,0.025704852201868134
2026-05-29,999462.22,607509.82,2,1008354.87,-0.881896866328421,-0.008818968663284243
2026-06-01,990841.83,797860.33,1,1008354.87,-1.736793317614466,-0.008625028367755583
2026-06-02,989967.83,797860.33,1,1008354.87,-1.8234691522836637,-0.0008820782223132317
2026-06-03,989691.83,797860.33,1,1008354.87,-1.850840468494989,-0.00027879693828025687
2026-06-04,988047.33,797860.33,1,1008354.87,-2.0139278942541368,-0.0016616283474826243
2026-06-05,991094.83,797860.33,1,1008354.87,-1.711702944420751,0.003084366413904416
2026-06-08,986384.49,986384.49,0,1008354.87,-2.1788341241412366,-0.004752663274411373
2026-06-09,986384.49,986384.49,0,1008354.87,-2.1788341241412366,0.0
2026-06-10,986384.49,986384.49,0,1008354.87,-2.1788341241412366,0.0
2026-06-11,986384.49,986384.49,0,1008354.87,-2.1788341241412366,0.0
2026-06-12,986384.49,986384.49,0,1008354.87,-2.1788341241412366,0.0
2026-06-15,986384.49,986384.49,0,1008354.87,-2.1788341241412366,0.0
2026-06-16,985451.21,201006.49,4,1008354.87,-2.2713888415097387,-0.0009461624847730832
2026-06-17,990374.59,201006.49,4,1008354.87,-1.7831301791600438,0.004996066725617032
2026-06-18,996121.37,593620.61,2,1008354.87,-1.2132137567798924,0.005802632718999723
2026-06-19,1003834.06,412488.34,3,1008354.87,-0.448335217541017,0.0077427211505360916
2026-06-22,1005753.35,601882.63,2,1008354.87,-0.2579964730075652,0.0019119594328169676
2026-06-23,1011314.65,1011314.65,0,1011314.65,0.0,0.005529486926391991
2026-06-24,1011314.65,1011314.65,0,1011314.65,0.0,0.0
2026-06-25,1011314.65,1011314.65,0,1011314.65,0.0,0.0
2026-06-29,1007490.79,809976.49,1,1011314.65,-0.3781078421043328,-0.00378107842104336
2026-06-30,1014065.56,405549.76,3,1014065.56,0.0,0.006525885958719391
2026-07-01,1011961.19,408032.89,3,1014065.56,-0.20751814113479128,-0.0020751814113478817
2026-07-02,1019755.62,610074.22,2,1019755.62,0.0,0.007702301310586801
2026-07-03,1026227.03,202202.63,4,1026227.03,0.0,0.006346040044378443
2026-07-06,1015630.28,132.58,5,1026227.03,-1.0325931485160744,-0.0103259314851607
2026-07-07,1001823.28,132.58,5,1026227.03,-2.3780069406279427,-0.013594513940643815
2026-07-08,974019.09,389119.39,3,1026227.03,-5.087367460979863,-0.027753587439094063
2026-07-09,986679.79,578250.09,2,1026227.03,-3.8536540983528753,0.012998410534233118
2026-07-10,992786.78,380552.98,3,1026227.03,-3.258562581420214,0.006189434568230068
2026-07-13,992369.47,43.47,5,1026227.03,-3.299227072590366,-0.000420342019461728
2026-07-14,971837.63,807.73,5,1026227.03,-5.299938357694596,-0.020689713479395855
2026-07-15,969843.13,807.73,5,1026227.03,-5.494291063450163,-0.0020522975633285867
2026-07-16,978013.72,203442.22,4,1026227.03,-4.698113437920267,0.00842465110826729
2026-07-17,966897.57,9415.62,5,1026227.03,-5.7813191687223515,-0.011366047093899656
2026-07-20,974869.01,196220.21,4,1026227.03,-5.004547580470573,0.008244347950941755
2026-07-21,975330.71,392785.51,3,1026227.03,-4.95955753572385,0.00047360208937186066
2026-07-22,980543.51,392785.51,3,1026227.03,-4.451599759558079,0.005344648688443421
2026-07-23,977491.77,593235.37,2,1026227.03,-4.748974503234436,-0.003112294323379894
2026-07-24,969712.35,779093.35,1,1026227.03,-5.507034832243704,-0.007958552940041663
2026-07-27,970219.75,779093.35,1,1026227.03,-5.457591581854945,0.0005232479507970567
2026-07-28,965239.93,965239.93,0,1026227.03,-5.942846779235582,-0.00513267226316505
2026-07-29,964058.9,774000.5,1,1026227.03,-6.057931450119765,-0.0012235610683863918
